,x1,y1,cluster
0,23.0,92.0,1
1,23.0,93.0,1
2,24.0,90.0,1
3,24.0,95.0,1
4,25.0,91.0,1
5,25.0,92.0,1
6,31.0,97.0,10
7,37.0,107.0,2
8,38.0,108.0,2
9,41.0,107.0,2
10,41.0,108.0,2
11,42.0,107.0,2
12,52.0,108.0,5
13,52.0,109.0,5
14,52.0,110.0,5
15,52.0,111.0,5
16,65.0,157.0,0
17,66.0,157.0,0
18,66.0,158.0,0
19,67.0,158.0,0
20,67.0,159.0,0
21,68.0,160.0,0
22,122.0,47.0,4
23,123.0,47.0,4
24,124.0,47.0,4
25,124.0,94.0,3
26,125.0,47.0,4
27,125.0,93.0,3
28,125.0,94.0,3
29,126.0,93.0,3
30,128.0,102.0,9
31,129.0,186.0,6
32,130.0,186.0,6
33,131.0,186.0,6
34,142.0,54.0,8
35,162.0,109.0,7
