,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
35,2014,01,03,03,36,13,0,-4.227179,-59.559658,60.0,144.0,75.14984893798828
5,2014,01,03,03,36,13,1,-4.478614,-59.39735,46.0,153.0,48.1046142578125
51,2014,01,03,03,36,13,2,-3.8314009,-58.893627,82.0,181.0,60.456050872802734
23,2014,01,03,03,36,13,3,-4.2811007,-59.613678,57.0,141.0,35.41041564941406
16,2014,01,03,03,36,13,4,-4.3170094,-59.559612,55.0,144.0,35.75701141357422
47,2014,01,03,03,36,13,5,-4.0475254,-59.57776,70.0,143.0,48.09264373779297
7,2014,01,03,03,36,13,6,-4.460648,-59.39736,47.0,153.0,33.46073913574219
13,2014,01,03,03,36,13,7,-4.3708615,-59.469498,52.0,149.0,23.314851760864258
10,2014,01,03,03,36,13,8,-4.388874,-59.559574,51.0,144.0,34.40056228637695
56,2014,01,03,03,36,13,9,-2.39471,-59.884113,162.0,126.0,27.204973220825195
55,2014,01,03,03,36,13,10,-2.735861,-60.675495,143.0,82.0,25.95867156982422
36,2014,01,03,03,36,13,11,-4.2084665,-61.25297,61.0,50.0,26.60672950744629
22,2014,01,03,03,36,13,12,-4.2985377,-58.92907,56.0,179.0,27.193992614746094
