DATETIME,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2014-01-04 00:00:09,1,0,-3.472474,-60.657974,102,83,SW,62.705902099609375,51.767234677850176
2014-01-04 00:12:09,1,0,-3.5083814,-60.693996,100,81,SW,31.638675689697266,47.013792705458854
2014-01-04 14:48:09,3,0,-3.310781,-60.657864,111,83,SW,93.89419555664062,54.572519883907134
2014-01-04 14:48:09,3,1,-3.544553,-59.884,98,126,SE,64.90270233154297,52.00650443259383
2014-01-04 14:48:09,3,2,-3.526573,-59.794,99,131,SE,24.92691993713379,45.35699785709902
2014-01-04 15:00:08,5,0,-3.5445428,-59.811996,98,130,SE,48.025020599365234,49.913780913690076
2014-01-04 15:00:08,5,1,-3.3287103,-60.711864,110,80,SW,51.999053955078125,50.46622703454223
2014-01-04 15:00:08,5,2,-3.5624394,-59.57798,97,143,SE,42.826725006103516,49.11773779376194
2014-01-04 15:00:08,5,3,-3.5804899,-59.937996,96,123,SE,54.56315994262695,50.80069217876431
2014-01-04 15:00:08,5,4,-3.6343374,-59.66796,93,138,SE,32.61906051635742,47.22584313224025
2014-01-04 15:12:08,7,0,-3.3286846,-60.74786,110,78,SW,42.85962677001953,49.12307411346081
2014-01-04 15:12:08,7,1,-3.562525,-59.992,97,120,SW,114.20297241210938,55.93313847879462
2014-01-04 15:12:08,7,2,-3.6343374,-59.66796,93,138,SE,82.68074035644531,53.68876966574855
2014-01-04 15:12:08,7,3,-2.89699,-61.287228,134,48,NW,42.82857894897461,49.11803859275385
2014-01-04 15:12:08,7,4,-3.454696,-59.740017,103,134,SE,113.89083099365234,55.914120144658945
2014-01-04 15:12:08,7,5,-3.5265794,-60.154003,99,111,SW,68.31112670898438,52.36216313349351
2014-01-04 15:12:08,7,6,-3.598421,-60.262024,95,105,SW,48.154232025146484,49.93245133299801
2014-01-04 15:24:08,8,0,-3.6163714,-59.667965,94,138,SE,60.32170486450195,51.49787767573827
2014-01-04 15:24:08,8,1,-3.5265923,-59.974,99,121,SE,56.10734939575195,50.99461599498216
2014-01-04 15:24:08,8,2,-3.6882813,-59.86598,90,127,SE,71.51140594482422,52.68030502128069
2014-01-04 15:24:08,8,3,-3.1491697,-59.47019,120,149,SE,63.15476608276367,51.8167980511393
2014-01-04 15:24:08,8,4,-3.724074,-60.53212,88,90,SW,41.0018310546875,48.8151519857908
2014-01-04 15:24:08,8,5,-3.0234325,-59.524227,127,146,NE,29.86453628540039,46.612792368311645
2014-01-04 15:24:08,8,6,-3.4726706,-59.77601,102,132,SE,31.347320556640625,46.94950675665523
2014-01-04 15:24:08,8,7,-4.047554,-60.3342,70,101,SW,22.335159301757812,44.59412482625694
2014-01-04 15:36:09,16,0,-3.4004617,-60.8559,106,72,SW,63.14335250854492,51.81554213952427
2014-01-04 15:36:09,16,1,-3.5804834,-60.118008,96,113,SW,62.45227813720703,51.739072520065676
2014-01-04 15:36:09,16,2,-3.256706,-60.89177,114,70,SW,41.60440444946289,48.91652891083817
2014-01-04 15:36:09,16,3,-3.6343877,-59.91999,93,124,SE,57.15678405761719,51.12338451834059
2014-01-04 15:36:09,16,4,-3.1311946,-59.452206,121,150,NE,44.4078254699707,49.369652076298934
2014-01-04 15:36:09,16,5,-3.2927787,-60.71184,112,80,SW,54.60446548461914,50.80595052007055
2014-01-04 15:36:09,16,6,-3.4367604,-60.027996,104,118,SW,63.804203033447266,51.8878885701873
2014-01-04 15:36:09,16,7,-2.466097,-61.03499,158,62,NW,22.423553466796875,44.621570940333726
2014-01-04 15:36:09,16,8,-2.8251734,-58.732834,138,190,NE,25.077634811401367,45.398885136700216
2014-01-04 15:36:09,16,9,-3.0773463,-59.56019,124,144,NE,38.67478561401367,48.409146595886945
2014-01-04 15:36:09,16,10,-3.4906468,-59.830006,101,129,SE,22.344064712524414,44.596894844504334
2014-01-04 15:36:09,16,11,-3.4906437,-60.171997,101,110,SW,88.14781951904297,54.13368513714494
2014-01-04 15:36:09,16,12,-3.5983992,-59.64997,95,139,SE,23.74693489074707,45.020020940643676
2014-01-04 15:36:09,16,13,-3.6343584,-59.739967,93,134,SE,35.680564880371094,47.84920749798865
2014-01-04 15:36:09,16,14,-3.74203,-60.550137,87,89,SW,29.355878829956055,46.49342133946794
2014-01-04 15:36:09,16,15,-3.9757216,-59.757885,74,133,SE,43.092628479003906,49.16074771876736
2014-01-04 15:48:08,15,0,-3.4363616,-60.89193,104,70,SW,51.29535675048828,50.37154883034883
2014-01-04 15:48:08,15,1,-4.0476046,-59.847916,70,128,SE,72.26760864257812,52.75339890092206
2014-01-04 15:48:08,15,2,-3.4726665,-60.22599,102,107,SW,28.29092788696289,46.23665502380848
2014-01-04 15:48:08,15,3,-3.6343896,-59.955997,93,122,SE,55.32371520996094,50.89688134924069
2014-01-04 15:48:08,15,4,-3.2746558,-60.90978,113,69,SW,55.282142639160156,50.89165783163
2014-01-04 15:48:08,15,5,-3.472691,-60.064,102,116,SW,86.26934814453125,53.98400422063431
2014-01-04 15:48:08,15,6,-3.6522777,-60.388058,92,98,SW,57.775299072265625,51.1981751929686
2014-01-04 15:48:08,15,7,-2.8792636,-58.912663,135,180,NE,37.46631622314453,48.18855586595012
2014-01-04 15:48:08,15,8,-2.8967328,-61.485107,134,37,NW,22.988780975341797,44.794555037813865
2014-01-04 15:48:08,15,9,-3.1311946,-59.452206,121,150,NE,46.017757415771484,49.61710716251571
2014-01-04 15:48:08,15,10,-3.7599638,-60.60416,86,86,SW,44.54044723510742,49.39037313287112
2014-01-04 15:48:08,15,11,-2.736063,-60.15388,143,111,NW,23.079710006713867,44.821985519349326
2014-01-04 15:48:08,15,12,-3.0953333,-59.61416,123,141,NE,23.499588012695312,44.94726393145129
2014-01-04 15:48:08,15,13,-3.4906497,-59.848003,101,128,SE,21.88523292541504,44.452718727637965
2014-01-04 15:48:08,15,14,-3.6164215,-60.064007,94,116,SW,34.7288818359375,47.661352765892
2014-01-04 16:00:07,13,0,-3.4542944,-60.927944,103,68,SW,37.80347442626953,48.25080742273964
2014-01-04 16:00:07,13,1,-3.562502,-60.20801,97,108,SW,50.991981506347656,50.33033017457231
2014-01-04 16:00:07,13,2,-3.6523564,-59.974,92,121,SE,78.69673919677734,53.34560776014142
2014-01-04 16:00:07,13,3,-3.31052,-60.981796,111,65,SW,63.062591552734375,51.80664898191332
2014-01-04 16:00:07,13,4,-4.011658,-59.775883,72,132,SE,41.25196838378906,48.85741477627326
2014-01-04 16:00:07,13,5,-3.5445588,-60.010002,98,119,SW,41.64028549194336,48.92251913161221
2014-01-04 16:00:07,13,6,-4.1374454,-59.937965,65,123,SE,30.625429153442383,46.78761488742268
2014-01-04 16:00:07,13,7,-3.1131673,-59.344257,122,156,NE,60.49759292602539,51.51810948172628
2014-01-04 16:00:07,13,8,-3.5444942,-59.63199,98,140,SE,31.74468994140625,47.03703738967344
2014-01-04 16:00:07,13,9,-4.226944,-60.784626,60,76,SW,23.99435806274414,45.0920461238473
2014-01-04 16:00:07,13,10,-3.0953395,-59.63215,123,140,NE,32.85357666015625,47.27562246339943
