,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
3,2014,09,23,03,12,3,0,-3.4363775,-60.87393,104.0,71.0,SW,70.06604766845703,52.53842188010695
1,2014,09,23,03,12,3,1,-3.5438972,-61.14404,98.0,56.0,SW,22.07038116455078,44.51125729536885
0,2014,09,23,03,12,3,2,-3.5617769,-61.216064,97.0,52.0,SW,22.19231414794922,44.54954142094682
1,2014,09,23,16,00,5,0,-4.4242735,-61.073112,49.0,60.0,SW,36.677574157714844,48.04070961837518
10,2014,09,23,16,00,5,1,-2.879208,-61.125305,135.0,57.0,NW,29.303380966186523,46.48098365718516
7,2014,09,23,16,00,5,2,-3.8130436,-61.39645,83.0,42.0,SW,33.48520278930664,47.40794689112618
6,2014,09,23,16,00,5,3,-3.8679416,-60.136055,80.0,112.0,SW,25.313737869262695,45.46400041343452
4,2014,09,23,16,00,5,4,-4.0476136,-59.93797,70.0,123.0,SE,24.291980743408203,45.177706807509765
0,2014,09,23,16,24,5,0,-4.4421515,-61.14521,48.0,56.0,SW,41.44480895996094,48.889822230149875
7,2014,09,23,16,24,5,1,-3.0410554,-60.96355,126.0,66.0,NW,29.309932708740234,46.48253709846128
8,2014,09,23,16,24,5,2,-2.8971148,-61.17929,134.0,54.0,NW,22.343082427978516,44.59658936015079
5,2014,09,23,16,24,5,3,-3.0951545,-60.711704,123.0,80.0,NW,21.99213218688965,44.48657735236815
4,2014,09,23,16,24,5,4,-3.795155,-61.342407,84.0,45.0,SW,25.431072235107422,45.496134700008625
1,2014,09,23,16,36,3,0,-4.4601164,-61.145237,47.0,56.0,SW,41.804420471191406,48.949855272596935
5,2014,09,23,16,36,3,1,-2.8430955,-61.287163,137.0,48.0,NW,23.295719146728516,44.88671790557922
4,2014,09,23,16,36,3,2,-3.0048218,-61.251373,128.0,50.0,NW,24.1981143951416,45.150804364597555
11,2014,09,23,16,48,8,0,-3.2919202,-61.503662,112.0,36.0,SW,49.4378662109375,50.11525544287254
23,2014,09,23,16,48,8,1,-2.6992216,-61.412903,145.0,41.0,NW,37.95887756347656,48.279313747726846
28,2014,09,23,16,48,8,2,-2.430261,-60.927067,160.0,68.0,NW,64.86679077148438,52.002658550509786
3,2014,09,23,16,48,8,3,-4.334489,-61.03696,54.0,62.0,SW,26.729768753051758,45.84222318169286
1,2014,09,23,16,48,8,4,-4.4780354,-61.1813,46.0,54.0,SW,24.08384132385254,45.11791207183485
19,2014,09,23,16,48,8,5,-2.9689133,-61.23334,130.0,51.0,NW,23.023054122924805,44.80490690774044
7,2014,09,23,16,48,8,6,-4.047383,-60.65839,70.0,83.0,SW,26.275245666503906,45.7230485207399
6,2014,09,23,16,48,8,7,-4.083187,-60.82052,68.0,74.0,SW,24.485576629638672,45.23286533278024
24,2014,09,23,17,00,10,0,-3.2919202,-61.503662,112.0,36.0,SW,107.50486755371094,55.51315001221692
44,2014,09,23,17,00,10,1,-2.7171388,-61.448895,144.0,39.0,NW,43.20446014404297,49.17875728196008
5,2014,09,23,17,00,10,2,-4.3344684,-61.054977,54.0,61.0,SW,37.490116119384766,48.19296852589407
