,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
0,2014,09,23,03,12,3,2,-3.5617769,-61.216064,97.0,52.0,22.19231414794922
31,2014,09,23,16,00,10,9,-2.7174451,-61.197086,144.0,53.0,13.042176246643066
10,2014,09,23,16,12,9,5,-3.598114,-60.820076,95.0,74.0,12.46571159362793
9,2014,09,23,16,12,9,6,-3.7950268,-61.432434,84.0,40.0,12.128153800964355
5,2014,09,23,16,12,9,7,-3.8311815,-61.270435,82.0,49.0,13.260110855102539
4,2014,09,23,16,12,9,8,-3.8672688,-61.14444,80.0,56.0,13.44713020324707
34,2014,09,23,16,24,11,9,-2.484187,-60.89114,157.0,70.0,15.446860313415527
13,2014,09,23,16,24,11,10,-3.9926884,-61.396732,73.0,42.0,12.754514694213867
21,2014,09,23,16,36,18,12,-3.3636398,-61.593758,108.0,31.0,10.595519065856934
20,2014,09,23,16,36,18,13,-3.8130946,-61.36044,83.0,44.0,12.604413986206055
19,2014,09,23,16,36,18,14,-3.8128257,-61.540497,83.0,34.0,17.74201202392578
18,2014,09,23,16,36,18,15,-3.8487825,-61.522552,81.0,35.0,12.145257949829102
17,2014,09,23,16,36,18,16,-3.8678982,-60.316124,80.0,102.0,13.740817070007324
16,2014,09,23,16,36,18,17,-4.0295515,-60.424244,71.0,96.0,10.203147888183594
30,2014,09,23,16,48,16,15,-4.029242,-60.874496,71.0,71.0,11.210097312927246
102,2014,09,23,17,00,18,16,-1.4782399,-60.69282,213.0,81.0,13.44015121459961
25,2014,09,23,17,00,18,17,-3.9390173,-61.234573,76.0,51.0,11.4102201461792
122,2014,09,23,17,12,22,17,-2.5373237,-61.57456,154.0,32.0,12.717618942260742
11,2014,09,23,17,12,22,18,-3.9757333,-60.172092,74.0,110.0,13.299179077148438
2,2014,09,23,17,12,22,19,-4.3344264,-61.09101,54.0,59.0,11.294215202331543
1,2014,09,23,17,12,22,20,-4.370335,-61.109077,52.0,58.0,10.148625373840332
0,2014,09,23,17,12,22,21,-4.3880653,-61.289276,51.0,48.0,10.15176773071289
157,2014,09,23,17,24,27,23,-1.7117178,-60.818733,200.0,74.0,11.09608268737793
154,2014,09,23,17,24,27,24,-2.5552096,-61.628532,153.0,29.0,12.07369327545166
153,2014,09,23,17,24,27,25,-2.663123,-61.538754,147.0,34.0,12.598084449768066
0,2014,09,23,17,24,27,26,-4.5860634,-60.98322,40.0,65.0,10.848759651184082
25,2014,09,23,17,36,20,16,-3.795673,-60.892273,84.0,70.0,10.59189224243164
24,2014,09,23,17,36,20,17,-4.010653,-61.39676,72.0,42.0,11.602543830871582
17,2014,09,23,17,36,20,18,-4.1366544,-61.21684,65.0,52.0,11.074617385864258
9,2014,09,23,17,36,20,19,-4.2622867,-61.307095,58.0,47.0,10.428979873657227
114,2014,09,23,17,48,26,23,-2.8430295,-61.34113,137.0,45.0,11.27554702758789
68,2014,09,23,17,48,26,24,-3.041088,-60.927567,126.0,68.0,13.104523658752441
57,2014,09,23,17,48,26,25,-3.6523552,-60.04601,92.0,117.0,15.201980590820312
106,2014,09,23,18,00,17,16,-2.0353105,-60.423435,182.0,96.0,16.31950569152832
141,2014,09,23,18,12,22,19,-1.873194,-61.08844,191.0,59.0,12.456899642944336
137,2014,09,23,18,12,22,20,-2.626984,-61.682587,149.0,26.0,11.115059852600098
136,2014,09,23,18,12,22,21,-2.6808472,-61.700653,146.0,25.0,11.602903366088867
106,2014,09,23,18,24,18,17,-2.9872377,-59.110455,129.0,169.0,10.551825523376465
3,2014,09,23,18,36,13,12,-4.334548,-60.98291,54.0,65.0,18.69806480407715
64,2014,09,23,19,00,12,9,-3.0232124,-59.1644,127.0,166.0,10.843001365661621
63,2014,09,23,19,00,12,10,-3.0591848,-59.218346,125.0,163.0,12.3931245803833
59,2014,09,23,19,00,12,11,-3.6342885,-60.44206,93.0,95.0,12.456990242004395
40,2014,09,23,19,24,13,9,-2.0529563,-60.962746,181.0,66.0,11.440720558166504
39,2014,09,23,19,24,13,10,-2.088857,-60.998726,179.0,64.0,14.064417839050293
28,2014,09,23,19,24,13,11,-3.0413644,-59.45225,126.0,150.0,11.758378028869629
17,2014,09,23,19,24,13,12,-3.956911,-61.288624,75.0,48.0,10.058887481689453
2,2014,09,23,20,00,11,8,-3.9207504,-61.45064,77.0,39.0,10.93647575378418
1,2014,09,23,20,00,11,9,-4.3168025,-60.74868,55.0,78.0,11.070128440856934
0,2014,09,23,20,00,11,10,-4.7123427,-60.2083,33.0,108.0,10.380986213684082
12,2014,09,23,20,24,19,15,-4.855975,-59.523262,25.0,146.0,11.083369255065918
