,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
30,2015,06,27,00,08,5,0,-3.4546351,-59.560028,103.0,144.0,SE,137.11215209960938,57.20351511726017
62,2015,06,27,00,08,5,1,-3.3109891,-59.866028,111.0,127.0,SE,176.616455078125,58.96279857523726
5,2015,06,27,00,08,5,2,-4.065009,-58.947372,69.0,178.0,SE,61.4940299987793,51.631627242688644
12,2015,06,27,00,08,5,3,-3.9398007,-60.172085,76.0,110.0,SW,44.6697883605957,49.410522274212724
1,2015,06,27,00,08,5,4,-4.2087517,-58.96521,61.0,177.0,SE,22.635499954223633,44.686941417038994
39,2015,06,27,00,20,6,0,-3.418731,-59.632034,105.0,140.0,SE,98.40636444091797,54.89867095466109
54,2015,06,27,00,20,6,1,-3.3289626,-59.95601,110.0,122.0,SE,59.45527267456055,51.39734596014762
2,2015,06,27,00,20,6,2,-4.0830693,-59.037407,68.0,173.0,SE,66.38069915771484,52.16296911380684
17,2015,06,27,00,20,6,3,-3.9038565,-60.226097,78.0,107.0,SW,62.382972717285156,51.73135701616449
13,2015,06,27,00,20,6,4,-4.010705,-58.62326,72.0,196.0,SE,24.905019760131836,45.35089020698079
0,2015,06,27,00,20,6,5,-4.190862,-59.037285,62.0,173.0,SE,25.92057991027832,45.62861537417261
48,2015,06,27,00,32,6,0,-3.4007926,-59.72203,106.0,135.0,SE,133.74850463867188,57.0309229188135
23,2015,06,27,00,32,6,1,-3.9218028,-60.298134,77.0,103.0,SW,65.44544219970703,52.06437046031535
8,2015,06,27,00,32,6,2,-4.0651565,-59.091457,69.0,170.0,SE,63.522953033447266,51.85719082420104
1,2015,06,27,00,32,6,3,-4.190915,-59.091328,62.0,170.0,SE,52.14360046386719,50.48551620417048
63,2015,06,27,00,32,6,4,-3.3109968,-60.01,111.0,119.0,SW,33.361297607421875,47.38218690760334
16,2015,06,27,00,32,6,5,-4.0287943,-58.713284,71.0,191.0,SE,35.7274055480957,47.85832363281432
41,2015,06,27,00,44,4,0,-3.3828392,-59.776028,107.0,132.0,SE,69.64977264404297,52.49701520633607
10,2015,06,27,00,44,4,1,-3.9217772,-60.370167,77.0,99.0,SW,65.62865447998047,52.08379596358101
7,2015,06,27,00,44,4,2,-3.974993,-58.785397,74.0,187.0,SE,48.98386764526367,50.05114912404272
0,2015,06,27,00,44,4,3,-4.2270017,-59.27143,60.0,160.0,SE,25.383047103881836,45.48300004785106
41,2015,06,27,00,56,4,0,-3.328953,-59.848026,110.0,128.0,SE,85.83922576904297,53.94927262601483
6,2015,06,27,00,56,4,1,-4.1551385,-59.271492,64.0,160.0,SE,55.95351791381836,50.97553830413329
14,2015,06,27,00,56,4,2,-3.9930458,-58.85741,73.0,183.0,SE,42.529544830322266,49.06935171232859
22,2015,06,27,00,56,4,3,-3.9037802,-60.44219,78.0,95.0,SW,27.289199829101562,45.9861527809892
4,2015,06,27,01,08,3,0,-4.191147,-59.379543,62.0,154.0,SE,86.69039154052734,54.01783538806082
24,2015,06,27,01,08,3,1,-3.3469281,-59.93801,109.0,123.0,SE,53.93324279785156,50.72000449304298
17,2015,06,27,01,08,3,2,-3.975143,-58.91146,74.0,180.0,SE,26.913150787353516,45.88973267089125
19,2015,06,27,01,20,6,0,-4.1192827,-59.379593,66.0,154.0,SE,96.12529754638672,54.735703110677306
33,2015,06,27,01,20,6,1,-3.3469296,-59.992,109.0,120.0,SW,35.4083251953125,47.795986120263194
28,2015,06,27,01,20,6,2,-3.9755192,-59.32567,74.0,157.0,SE,25.832536697387695,45.6049728368825
