     YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9514     -2.0289     72.0000     64.0000     20.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.7897      0.3448
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9514     -2.0489     72.0000     65.0000     20.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8446      0.3725
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9314     -2.0489     73.0000     65.0000     20.7812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8882      0.3636
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.0689     71.0000     66.0000     21.6250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0111      0.3940
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9514     -2.0689     72.0000     66.0000     22.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.7608      0.4224
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9314     -2.0689     73.0000     66.0000     21.6562      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.4835      0.3780
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9114     -2.0689     74.0000     66.0000     22.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.6281      0.3977
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.8714     -2.0689     76.0000     66.0000     20.5312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.2439      0.3845
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.8514     -2.0689     77.0000     66.0000     21.0312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.3452      0.4102
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.0889     71.0000     67.0000     21.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0014      0.4048
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9514     -2.0889     72.0000     67.0000     23.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.8627      0.4259
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9314     -2.0889     73.0000     67.0000     22.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.6442      0.3963
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9114     -2.0889     74.0000     67.0000     21.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.5353      0.4141
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.8914     -2.0889     75.0000     67.0000     20.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.2809      0.3948
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0714     -2.1089     66.0000     68.0000     20.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8012      0.1938
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.1089     67.0000     68.0000     20.3906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8365      0.2406
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.1089     71.0000     68.0000     20.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8527      0.3606
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9514     -2.1089     72.0000     68.0000     21.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0531      0.3819
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9314     -2.1089     73.0000     68.0000     21.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.3955      0.3781
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9114     -2.1089     74.0000     68.0000     20.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.7897      0.3591
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.1289     67.0000     69.0000     21.2812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9591      0.3520
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0314     -2.1289     68.0000     69.0000     23.7969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4111      0.4124
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9914     -2.1289     70.0000     69.0000     20.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8968      0.3720
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.1289     71.0000     69.0000     21.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9186      0.3766
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0714     -2.1489     66.0000     70.0000     21.7969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0381      0.3634
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.1489     67.0000     70.0000     25.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.8587      0.4918
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0314     -2.1489     68.0000     70.0000     25.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.5731      0.4580
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0114     -2.1489     69.0000     70.0000     25.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.7155      0.5226
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9914     -2.1489     70.0000     70.0000     21.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0062      0.3793
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.1489     71.0000     70.0000     20.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8187      0.2787
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0914     -2.1689     65.0000     71.0000     22.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1129      0.2765
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0714     -2.1689     66.0000     71.0000     25.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.8101      0.4783
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.1689     67.0000     71.0000     26.9219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.3846      0.5482
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0314     -2.1689     68.0000     71.0000     25.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.8101      0.4965
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0114     -2.1689     69.0000     71.0000     24.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.4622      0.4806
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9914     -2.1689     70.0000     71.0000     22.7656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.7651      0.3886
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0914     -2.1889     65.0000     72.0000     23.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2577      0.4001
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0714     -2.1889     66.0000     72.0000     27.6250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.7787      0.5559
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.1889     67.0000     72.0000     27.5781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.7510      0.5486
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0314     -2.1889     68.0000     72.0000     23.9688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.1311      0.4169
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0114     -2.1889     69.0000     72.0000     21.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0062      0.3837
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9914     -2.1889     70.0000     72.0000     21.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9454      0.3472
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.1889     71.0000     72.0000     20.9531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9120      0.3422
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.2514     -2.2089     57.0000     73.0000     25.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.8954      0.5681
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.2314     -2.2089     58.0000     73.0000     22.6875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1902      0.3544
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.1514     -2.2089     62.0000     73.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      0.9477      0.3574
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.1114     -2.2089     64.0000     73.0000     21.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9431      0.3568
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0914     -2.2089     65.0000     73.0000     24.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5274      0.4108
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0714     -2.2089     66.0000     73.0000     25.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.5857      0.4332
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.2089     67.0000     73.0000     26.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.2150      0.4987
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0314     -2.2089     68.0000     73.0000     22.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0787      0.4035
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0114     -2.2089     69.0000     73.0000     20.4688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8466      0.3539
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9914     -2.2089     70.0000     73.0000     22.8125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.7781      0.3898
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9714     -2.2089     71.0000     73.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.3221
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.3114     -2.2289     54.0000     74.0000     29.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.5108      0.8587
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.2714     -2.2289     56.0000     74.0000     36.7656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     15.8179      2.1610
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.2514     -2.2289     57.0000     74.0000     35.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     13.4914      1.7669
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.1714     -2.2289     61.0000     74.0000     20.7188      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      0.8798      0.4158
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.1514     -2.2289     62.0000     74.0000     23.2344      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      1.2944      0.5475
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.1314     -2.2289     63.0000     74.0000     20.2656      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      0.8206      0.3502
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.1114     -2.2289     64.0000     74.0000     22.7812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2074      0.4066
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0914     -2.2289     65.0000     74.0000     23.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3613      0.4010
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0714     -2.2289     66.0000     74.0000     22.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1676      0.3705
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0514     -2.2289     67.0000     74.0000     21.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0684      0.3680
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0314     -2.2289     68.0000     74.0000     21.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9296      0.3588
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -61.0114     -2.2289     69.0000     74.0000     20.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8187      0.3276
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.9914     -2.2289     70.0000     74.0000     22.1562      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0970      0.2778
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.6514     -2.2289     87.0000     74.0000     22.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.6808      0.4610
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.6314     -2.2289     88.0000     74.0000     24.0625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.1627      0.5484
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.6114     -2.2289     89.0000     74.0000     23.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.8719      0.5868
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -2.2289     90.0000     74.0000     22.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.5927      0.5333
2014.0000      8.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -2.2289     91.0000     74.0000     20.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9011      0.4725
