Time    SYSclass       Lat       Lon       Dir         Vel        Size    Ttyyyxx1    Ttyyyxx2    Ttyyyxx3    Ttyyyxx4    Ttyyyxx5   RiverFrac    ConvFrac    StraFrac       MeanZ        MaxZ     MeanVIL       TtVIL    MeanPrec     MaxPrec
0.00        0.00     -2.47    -61.05     -999.00      0.00      641.00        0.00        0.00        0.00        0.00        0.00       22.00       35.88       64.12       35.10       51.62        1.54      985.28       12.48      162.18
0.20        2.00     -2.51    -61.15        0.00      22.20     493.00        0.00        0.00        0.00        0.00        0.00       20.28       32.86       67.14       32.98       49.64        1.00      491.62        8.71      118.85
0.40        2.00     -2.43    -61.11      270.00      33.30     519.00        0.00        0.00        0.00        0.00        0.00       17.73       34.30       65.70       33.31       56.55        1.21      630.50        9.48      350.60
0.60        3.00     -2.45    -61.09      243.00      24.80     556.00        0.00        0.00        0.00        0.00        0.00       19.96       28.60       71.40       31.09       54.00        1.00      556.31        6.41      235.26
0.80        2.00     -2.37    -61.05      270.00      55.50     711.00        0.00        0.00        0.00        0.00        0.00       14.21       25.18       74.82       29.09       46.78        0.79      561.39        4.30       75.94
1.00        1.00     -2.43    -61.11      225.00      47.10     556.00        0.00        0.00        0.00        0.00        0.00       15.47       31.65       68.35       29.38       44.39        0.78      435.30        4.43       52.22
1.20        2.00     -2.41    -61.07      225.00      15.70     448.00        0.00        0.00        0.00        0.00        0.00       16.52       36.38       63.62       26.70       35.80        0.53      238.30        2.87       13.59
1.40        1.00     -2.47    -61.21      248.00      59.80     268.00        0.00        0.00        0.00        0.00        0.00       18.28       42.16       57.84       27.83       36.92        0.65      174.28        3.59       16.29
1.60        1.00     -2.45    -61.23      314.00      15.70     191.00        0.00        0.00        0.00        0.00        0.00       18.32       38.22       61.78       26.28       36.02        0.50       95.18        2.83       14.10
1.80        2.00     -2.53    -61.31      243.00      24.80      96.00        0.00        0.00        0.00        0.00        0.00        4.17       33.33       66.67       25.35       31.51        0.42       39.92        2.29        6.87
2.00        1.00     -2.53    -61.35      270.00      22.20      31.00        0.00        0.00        0.00        0.00        0.00        0.00       32.26       67.74       21.46       24.28        0.22        6.84        1.20        2.19
